Country,RegionDetail,Altitude,Year,ProcessingMethod,BeanColor,BagsProduced,Rating
Guatemala,jalapa,1752,2012,Washed / Wet,Green,275,82.33
Colombia,huila,1775,2013,Washed / Wet,Blue-Green,50,81.83
Brazil,grama valley,1100,2012,Natural / Dry,Green,16,82.33
Guatemala,oriente,1310,2012,Washed / Wet,Green,250,82.83
Uganda,mbale,1775,2012,Washed / Wet,Blue-Green,320,84.67
Kenya,nyeri,2000,2012,Washed / Wet,Blue-Green,235,84.5
Guatemala,oriente,1219,2014,Washed / Wet,Green,275,77.33
Guatemala,oriente,1310,2013,Washed / Wet,Green,250,78
Costa Rica,tres rios,1300,2015,Washed / Wet,Blue-Green,275,82.08
Costa Rica,central valley,1300,2014,Washed / Wet,Green,250,83.08
Mexico,petatlan,1218,2012,Natural / Dry,Green,20,83.83
Colombia,tolima,1200,2013,Washed / Wet,Green,1,86
El Salvador,"department of ahuachapan, municipality of apanecallamatepec mountain",1450,2013,Washed / Wet,Green,2,80.42
Honduras,marcala,1350,2015,Washed / Wet,Green,275,80.75
Honduras,comayagua,1500,2017,Washed / Wet,Green,275,84
China,yunnan,1600,2015,Washed / Wet,Green,3,82.42
Malawi,kakoma,1556,2014,Washed / Wet,Green,24,81.83
Guatemala,huehuetenango,1116,2016,Washed / Wet,Green,275,84.17
Mexico,veracruz,1250,2012,Washed / Wet,Green,250,82.08
Honduras,central region,1450,2015,Natural / Dry,Green,275,80.75
Honduras,intibuca,1350,2014,Natural / Dry,Green,275,76
Uganda,kapchorwa eastern,1950,2013,Washed / Wet,Green,100,86.83
Guatemala,oriente,1310,2013,Washed / Wet,Green,250,83.42
Colombia,huila,1750,2013,Washed / Wet,Green,250,83
Guatemala,oriente,1310,2013,Washed / Wet,Green,250,83.67
Colombia,santander,1550,2015,Washed / Wet,Green,275,85.25
Guatemala,san marcos,1700,2016,Washed / Wet,Green,50,82.42
Colombia,huila,1750,2013,Washed / Wet,Green,275,83.25
Guatemala,nuevo oriente,2100,2016,Washed / Wet,Green,275,83.25
Guatemala,oriente,1219,2017,Washed / Wet,Green,25,82.58
Mexico,atoyac de alvarez,1100,2012,Natural / Dry,Green,15,81.5
Myanmar,ywar ngan,4287,2014,Natural / Dry,Green,1,80.25
Guatemala,oriente,1219,2017,Washed / Wet,Green,25,82.75
Cote d?Ivoire,cnra station of divo,200,2016,Washed / Wet,Blue-Green,2,79.33
Colombia,huila,1775,2012,Washed / Wet,Green,275,82.58
Guatemala,occidente,1320,2016,Washed / Wet,Green,250,79.17
Mexico,"la concordia, chiapas",1400,2013,Washed / Wet,Green,310,79.75
Guatemala,jalapa,1524,2014,Washed / Wet,Green,250,84.58
Mexico,tapachula,1250,2012,Washed / Wet,Green,50,81.5
Indonesia,bali,1250,2017,Washed / Wet,Green,2,82.5
Guatemala,oriente,1219,2014,Washed / Wet,Green,250,83.83
Uganda,eastern,1650,2013,Natural / Dry,Green,1,84.83
Brazil,south of minas,1000,2012,Natural / Dry,Green,17,81.17
Honduras,central region,1450,2015,Natural / Dry,Green,275,81.17
Brazil,south of minas,1000,2011,Natural / Dry,Green,10,84.92
Mexico,sierra madre occidental,1600,2016,Washed / Wet,Green,60,80.25
"Tanzania, United Republic Of",mbinga,1550,2014,Washed / Wet,Green,77,82.67
